Country Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,1029,854,904,565,1053,1277,1335,1235,1452,1752,1911,1826,1881,2092,2101,2206,2802,2925,3094,3946,5172,5281,5671,8652,9326,10405,9724,10413
Libya,. .,. .,. .,. .,. .,. .,. .,. .,. .,1252,1444,1153,1086,820,453,541,685,691,614,639,1100,. .,. .,. .,2987,. .,3289,. .
Morocco,917,991,1070,1148,1229,1252,1365,1438,1447,1401,1445,1208,859,1470,1475,1819,1938,2031,2135,2408,2945,3055,3161,3343,3403,4066,4049,3268
Tunisia,233,234,248,260,290,276,297,343,397,358,366,357,332,336,345,407,445,468,497,491,579,565,571,715,681,759,922,980
Angola,1469,1949,1751,1031,794,1774,. .,234,160,457,170,1067,584,404,439,670,818,1365,1970,2032,3164,3311,3501,3639,4145,6091,6842,3601
Benin,36.9,28.5,32.8,. .,. .,. .,. .,. .,. .,. .,. .,17.8,14.5,13.1,26,34.5,41.8,44.7,46.8,. .,64.7,. .,. .,. .,78.2,86,93,90.9
Botswana,93.7,103,156,172,178,186,170,166,141,161,181,170,185,210,224,301,314,284,273,306,332,330,349,370,333,298,379,402
Burkina Faso,57.2,66.8,84.5,69.5,71.1,60.5,30.3,36.9,37.1,38.5,39.5,41.7,36.7,36.8,42.5,50.8,65.7,73.8,72.6,108,117,127,124,139,148,160,204,. .
Burundi,34.3,37.9,39.6,42.8,39,36.3,41.9,42.1,50.9,61.9,58.7,50.6,42.3,53.2,44.9,43.4,44.9,49.6,44.7,46.3,43.9,. .,. .,. .,59,60.9,62.2,66.4
Cameroon,154,147,181,178,184,168,94.5,114,117,119,137,145,123,124,146,188,221,223,257,297,347,343,354,347,354,393,402,354
Cape Verde,5.1,. .,. .,. .,3.6,2.7,3.4,6.2,4.3,4.1,4.5,5,6.8,4.6,4.5,5.8,6.5,7.1,7,7.9,10.8,8.4,8.2,9.8,9.7,9.8,10,8.9
Central African Rep.,. .,. .,. .,21.6,23.2,19.1,10.7,13,12.2,. .,. .,. .,. .,. .,10.7,15,15.1,15.4,. .,19.1,31.5,36,51.6,. .,. .,. .,. .,. .
Chad,77.9,56.4,34.3,. .,35.3,39.2,22.2,20,24.8,16.6,16.1,21,21.3,26.2,34.3,40.9,50.5,55.5,223,389,611,739,616,610,. .,726,392,221
Congo,. .,. .,. .,. .,126,109,. .,. .,. .,. .,. .,. .,. .,54,70.7,93.8,124,101,127,168,208,. .,218,. .,. .,367,705,. .
"Congo, Dem. Rep.",214.9,67.5,45.9,43.9,85.5,469,. .,. .,89.3,83.8,26.6,149,133,. .,. .,78.7,138,165,205,205,160,122,184,239,332,374,341,491
CÃŒÂ«te dâ€°Ã›ÂªIvoire,128,130,144,144,157,149,84.1,. .,103,93.5,. .,. .,. .,. .,. .,213,251,250,267,324,369,420,388,357,408,430,521,465
Djibouti,31.1,31.1,31.1,31.8,33.6,31.1,30.7,29.6,24.5,26.6,26.7,26.8,26,26,33.3,41.8,37.4,44.8,49.5,34.5,36.3,. .,. .,. .,. .,. .,. .,. .
Equatorial Guinea,. .,. .,. .,. .,. .,. .,2.4,3.4,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,196,293,372,. .,. .,. .,. .,167,. .
Eritrea,xxx,xxx,xxx,xxx,xxx,108,80.2,125,152,92.8,263,273,231,167,151,182,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Ethiopia,615,782,785,529,255,164,149,122,126,225,459,704,618,350,289,279,311,342,346,360,388,340,304,332,367,345,394,423
Gabon,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,91.3,90,94.7,108,125,118,130,. .,. .,. .,269,266,278,282,208,170
Gambia,2.2,2.7,3.5,4,3.5,2.6,2.3,2.9,3.9,4.2,4,3.5,3.3,2.5,2.3,2,1.9,3,2.8,4.5,17.2,7.1,. .,. .,11.2,10.4,14.6,12.5
Ghana,22.8,22.6,27.6,41.4,41.7,41,37.8,49.1,44.4,45.5,57.5,59.3,50.9,32.4,37,53.2,56.4,64.2,75.7,126,114,118,122,234,337,255,178,180
Guinea,. .,. .,. .,71.8,55.7,44,45.9,. .,. .,44.4,45,55.2,46,87.7,98.1,84.1,81,. .,. .,. .,. .,. .,. .,. .,169,193,255,. .
Guinea-Bissau,. .,4.4,. .,. .,. .,. .,2,2.2,1.9,1.8,2.9,. .,9.5,6.2,6.4,7.5,. .,12.1,. .,. .,. .,13.7,17.1,17.5,24.5,21.7,21.5,18.6
Kenya,251,229,246,192,156,106,117,149,171,176,172,152,166,195,214,246,260,317,376,495,580,578,622,647,840,861,819,954
Lesotho,17,22.6,24.2,22.3,24.2,22.1,25.9,34.4,28.3,28.7,27.8,34.1,30.6,23.4,19.6,27.4,31.4,33.6,35.2,39.8,27.4,47.4,70.7,58.2,53.2,47.9,47.7,43.1
Liberia,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,3.2,8,3.9,3.5,3.9,7.2,8.5,13.3,15.2,15.1,14.4,13.5
Madagascar,32.9,30.2,37.9,34.7,23.1,37.8,27.6,27.2,49.4,52.5,50.4,45,47.2,65,57.7,72.5,54.5,54,53.9,81.9,103,71,56.9,72,68.6,71.9,69.7,61
Malawi,20.2,22.8,24.3,23.7,25.2,25.7,17.1,11,20.2,26.4,14.5,14.4,11.7,12.7,14.8,13.1,22,38.2,31.1,33.6,44.5,58.8,50,52.8,49.5,68.6,53.9,41.9
Mali,48,46.1,52.2,. .,. .,44.5,29.9,40.5,39.7,40.3,41,43.9,43.7,44.9,49.4,66.8,77.4,86.5,96,110,143,144,147,161,149,154,218,309
Mauritania,43,38.9,40.2,39.4,39.4,30.2,29.5,32,37.9,41.6,25.6,32,37.9,51.9,36.3,62.4,. .,66.7,81.9,. .,123,115,. .,. .,142,144,150,135
Mauritius,4.7,6.3,9.2,10.5,11.4,10.8,11.9,13.4,13,9.8,8.5,9,9.4,9,9.5,10.9,10.9,10.9,10.8,11.6,15.6,15.3,14.9,17.5,16.7,23.2,32.9,. .
Mozambique,63.9,79.1,84.6,71.8,59.6,59.4,72.9,33.5,36,42,49.3,56.5,55.4,50.6,53.5,59.8,77.6,62.2,57.4,68.6,83.7,84.3,99.2,119,139,158,174,148
Namibia,xxx,xxx,. .,145,125,70.2,57,68.2,66.5,83.7,78.9,106,92.4,96.8,88,129,167,192,200,228,266,300,397,444,412,390,546,554
Niger,. .,. .,. .,. .,. .,. .,17.5,18.4,17.4,17.3,22,23.6,20.1,24.8,20.7,24.6,31.6,32.8,. .,. .,53.6,53,66.9,83.9,69.8,. .,. .,. .
Nigeria,271,171,277,244,174,289,320,639,701,819,1150,492,369,571,897,587,640,674,776,971,1616,1504,1990,2385,2316,2419,2358,2071
Rwanda,36.6,41.6,95.1,105,88.6,89.4,40.5,56.4,73.7,77.3,87.1,80.9,61.3,56.9,51.1,45.2,41.2,45,54.6,55.6,67.7,75.3,74.5,75.4,79.8,82.5,90.9,92.9
Senegal,105,100,118,110,110,120,66.1,80.9,79.8,70.8,75.1,78.3,62.4,68.9,74.4,96.9,108,124,149,193,217,215,196,230,197,237,240,215
Seychelles,12.1,13,14.8,16.6,20.5,12.9,11.9,11.6,10.5,11.4,10.5,11.1,10.3,11.1,11.7,12.2,15.9,14.7,14.4,15.2,11.1,8.7,7.2,8.7,9.9,13.8,34.4,18.2
Sierra Leone,9,14.4,12.4,23.2,26.7,23.3,26.5,25,18.6,9.5,. .,. .,23.3,29.9,27.1,28.5,23,23.6,28,29.1,23.6,26.4,25.1,25.5,29.8,31.7,49.9,42.2
Somalia,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
South Africa,4263,4182,4364,3874,3677,3254,3479,3292,2592,2414,1906,1738,1892,1802,1766,2574,3099,3567,3506,3526,3286,3593,4188,4594,4490,4118,3893,3460
South Sudan,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,551,588,896,610,651,1053,988,982,1298,1366
Sudan,369,. .,1178,1366,184,258,226,139,106,97.7,260,430,587,388,485,398,1241,1165,1537,. .,. .,. .,. .,. .,. .,. .,. .,. .
Swaziland,8.7,8.7,14.2,16,21,23.7,25.8,28.8,26.5,25.7,25.7,25.9,24.5,19.7,18.3,31.9,42.7,59.5,58.5,61.9,66.7,75.9,102,107,90.6,86,81.4,73.5
Tanzania,125,105,87.2,108,96.9,58.7,58.4,85.5,101,119,134,128,135,151,141,125,128,139,147,166,194,219,283,307,360,443,496,517
Togo,43.1,41.9,50.7,45.9,49.1,50.1,25.4,30.9,. .,. .,. .,. .,. .,. .,. .,28.8,31.7,33.2,. .,. .,57,55.1,56.8,59,62.9,72.4,83.1,70
